name,cost,types,presents,text
Chimney Change,$2,Money,,+$1
Santa's Piggy Bank,$5,Money,,+$2
Scrooge's Vault,$8,Money,,+$3
Peppermint Coin,$4,Rest,,"+$1
+1 Buy
Rest"
Reindeer Energy Drink,$2,Reindeer,,+1 Reindeer
Magical Reindeer DNA,$4,Reindeer,,+2 Reindeer
Sleigh Wax Job,$2,Sled,,+1 Sled
Turbo Boosters,$5,Sled,,+2 Sled
Toy Conveyor Belt,$2,Present,1,Worth 1 present.
Robo-Elf Assistant,$5,Present,2,Worth 2 presents.
Fully Automated Toy Factory,$8,Present,3,Worth 3 presents.
Workshop Elf,$3,Action,,"+1 Card
The next card you play this turn loses Rest."
Mountain of Toys,$4,Rest,,"+3 Cards
Rest"
Elf-Mart,$5,Action,,"+1 Card
+1 Buy
+$1"
Spring Cleaning,$2,Action,,"Discard any number of cards, then draw that many."
Letter-Sorting Frenzy,$5,Action,,+2 Cards
Winter Fair,$5,Rest,,"+2 Buys
+$2
Rest"
All Hands on Deck,$3,Action,,"The next card you play this turn loses Rest.
+1 Buy"
Checking It Twice,$2,Action,,"+1 Card
Look at the top card of your deck. You may discard it."
Chimney Sweep,$4,Rest,,"+$2
+1 Buy
Rest"
Gift Fund,$3,Rest,,"+$2
If you have a Sled in play, +$1.
Rest"
Reindeer Feed,$3,Action,,+2 Reindeer
Sled Shed,$4,Action,,+2 Sled
Bell Ringer,$3,Action,,"+1 Card
+$1"
North Star,$6,Rest,,"+3 Cards
+1 Buy
Rest"
Candy Coins,$4,Rest,,"+$2
+1 Reindeer
Rest"
Gift-Wrapping Frenzy,$4,Action,,Gain a Toy Conveyor Belt.
Toy Maker,$5,Rest,,"+$2
Gain a Present card costing up to $5.
Rest"
Toy Assembly Line,$6,Action,,"+2 Cards
You may play an Action card from your hand."
Master Craftself,$6,Rest,,"Gain a card costing up to $5 to your hand.
Put a card from your hand onto your deck.
Rest"
Gift Wrap,$3,Action,,"The next card you play this turn loses Rest.
The next Present you buy this turn costs $2 less."
Toy Recycler,$4,Rest,,"Trash a card from your hand.
Gain a card costing up to $2 more than it.
Rest"
Gift Compactor,$5,Action,,"+1 Card
You may trash a Money card from your hand. If you do, gain a Present costing up to $6."
Cookie Bribe,$3,Rest,,"+1 Card
+$2
Rest"
Elf Overtime,$3,Action,,"+1 Card
The next card you play this turn loses Rest.
Discard a card."
Mass Toy Production,$7,Rest,,"+2 Cards
Gain 2 Toy Conveyor Belts.
Rest"
Quality Elf-spection,$4,Action,,"+1 Card
You may trash a card. If you do, +$1."
Ribbon Roll,$2,Rest,,"+$1
+1 Reindeer
Rest"
Tinsel Stash,$5,Rest,,"+$3
+1 Buy
Rest"
Gingerbread Crew,$5,Action,,"+2 Cards
The next card you play this turn loses Rest."
Naughty-or-Nice Audit,$3,Action,,"+1 Card
Look at the top 2 cards of your deck; put them back in any order."
Golden Ticket,$5,Rest,,"+1 Buy
+$2
Gain a Present costing up to $4.
Rest"
Wholesale Toys,$6,Rest,,"+1 Buy
+$3
Rest"
Craft Fair,$4,Action,,"+1 Card
+1 Buy"
Elf Union,$5,Action,,"+1 Card
The next card you play this turn loses Rest.
+$1"
Present Prototype,$0,Action,,+1 Card
Santa's Ledger,$3,Action,,"+1 Card
+1 Buy
When you discard this, +$1."
Charity Drive,$5,Rest,,"+$2
Gain a Present costing up to $5; if you do, +1 Card.
Rest"
Reindeer Stable,$4,Action,,"+1 Card
+1 Reindeer"
Prancing Reindeer,$5,Rest,,"+2 Reindeer
+1 Card
Rest"
Blitzen Boost,$6,Rest,,"+3 Reindeer
Rest"
Sleigh Bells,$3,Action,,"+1 Sled
The next card you play this turn loses Rest."
Rocket Sleigh Engine,$6,Sled,,+3 Sled
